h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.001625603,0.0,0.101657006,0.411069505,0.530946793,0.654514192,0.462955486,0.47674188,0.479572598,0.482693377,0.485373745,0.481649251,0.388657993,0.425775729,0.740328961,0.977979988,1.0,1.0,1.0,0.966925132,0.406172162,0.307180575,0.132092578
0.180657633,0.179503759,0.249022603,0.476441036,0.571449382,0.577543242,0.571200554,0.575960962,0.574001498,0.573085085,0.573172213,0.55832214,0.552446108,0.506407673,0.730979722,0.862443384,0.997319909,1.0,1.0,1.0,0.813543965,0.499353257,0.0
0.431221692,0.258414406,0.180072892,0.173012177,0.195732019,0.0,0.46915368,0.573574744,0.575235544,0.571079338,0.572491122,0.577172981,0.577560744,0.575673602,0.741327521,0.862443384,0.997371726,0.997978587,0.996610883,1.0,1.0,1.0,1.0
0.179827219,0.179440116,0.240111566,0.451788492,0.569886628,0.573630494,0.571646087,0.567721316,0.561219753,0.547518796,0.566440591,0.536258325,0.574962256,0.44321375,0.624620337,0.862443384,1.0,1.0,1.0,1.0,0.782040746,0.462430308,0.0
0.315474946,0.096654004,0.007918825,0.0,0.062683574,0.3106538,0.481326901,0.483522311,0.635203512,0.659074301,0.532582248,0.478415903,0.483839619,0.488696246,0.723772608,0.976003607,1.0,1.0,1.0,1.0,1.0,1.0,0.990125098
0.00050816,0.0,0.058895653,0.336070027,0.476854704,0.484327452,0.441249412,0.478484578,0.458346944,0.473056679,0.474972868,0.44214666,0.466178106,0.380554719,0.684454477,0.819298083,0.999630562,1.0,1.0,0.996523388,0.575222325,0.343455951,0.13058979
0.287481128,0.22614435,0.180863815,0.178029379,0.179974397,0.0,0.0,0.528368759,0.55620764,0.573388369,0.573990438,0.574416854,0.517718326,0.559963697,0.613123191,0.78530956,0.862443384,0.862443384,0.866829568,0.999291328,1.0,1.0,1.0
0.0,0.005323189,0.066814304,0.354941555,0.479094928,0.500189224,0.475129742,0.485185166,0.487421295,0.486576716,0.487096593,0.474333226,0.353402965,0.35729295,0.558980636,0.826944971,0.999552422,1.0,1.0,1.0,1.0,0.774700274,0.347457503
0.000998416,0.0,0.037221756,0.325738949,0.462160234,0.480599576,0.478349443,0.47214261,0.475681976,0.474745654,0.460250958,0.454272084,0.481750777,0.333530123,0.629488286,0.823060404,0.999996425,1.0,1.0,1.0,0.87615604,0.51718005,0.333265649
0.000317518,0.0,0.051889871,0.31427928,0.46043083,0.469700622,0.46103821,0.463942307,0.460147036,0.469563424,0.470259068,0.482825668,0.467378464,0.404809522,0.728064751,0.934226528,1.0,1.0,1.0,1.0,0.856133233,0.483396254,0.373094259
0.178422724,0.176712949,0.249557177,0.486204636,0.575327431,0.616357347,0.562201487,0.574213456,0.580753869,0.711862753,0.785241322,0.7238439,0.571158631,0.736884704,0.862443384,0.998247243,1.0,1.0,0.999999285,0.782055688,0.551559446,0.504841447,0.0
0.180219063,0.179368194,0.224126564,0.436265824,0.575878188,0.573093088,0.568993872,0.572223183,0.545573171,0.551517978,0.560195177,0.547988647,0.574962256,0.486583144,0.700805911,0.812114043,0.978719655,1.0,1.0,1.0,0.867249497,0.47513827,0.0
0.181543603,0.180582797,0.234759732,0.457104761,0.573534413,0.578233469,0.573431192,0.566678446,0.566259612,0.566456448,0.567403785,0.565303287,0.533459184,0.557426193,0.828151099,0.96111861,1.0,1.0,1.0,0.800679085,0.50900732,0.0,0.210860058
0.17381739,0.181255331,0.185593864,0.0,0.57146445,0.574918569,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.0,0.431221692,0.616012251,0.800999785,0.969009979,1.0,1.0,1.0,1.0,1.0,1.0
0.892017207,0.144521667,0.008345336,0.0,0.002533578,0.317422047,0.481009403,0.620899918,0.743986815,0.926845474,0.804595102,0.708375319,0.663222807,0.787141619,0.873852693,1.0,0.999835588,0.977058573,0.76091569,0.460782575,0.318608248,0.12938055,0.012340074
0.172587714,0.179270761,0.183877186,0.0,0.482450401,0.539156942,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.0,0.435480421,0.57445739,0.776457545,0.862443384,0.865403315,0.996844874,1.0,1.0,1.0,0.966507267
0.005326271,0.003014721,0.089021288,0.348491669,0.460264872,0.481188865,0.484375287,0.478008845,0.480529728,0.485278793,0.486809535,0.485642158,0.486949861,0.482536641,0.822188613,0.999903115,0.999903115,0.999903115,1.0,0.62734919,0.357039205,0.134713904,0.0
0.181384898,0.1802306,0.235524959,0.446671769,0.576192211,0.574962525,0.57197929,0.549172684,0.566882273,0.562589391,0.571407887,0.576081889,0.495826036,0.515585089,0.732573026,0.862443384,1.0,1.0,1.0,0.86104335,0.480793766,0.0,0.215664989
0.438830164,0.235816107,0.181552379,0.179541387,0.191767685,0.0,0.0,0.555553719,0.545725815,0.574907709,0.575724641,0.573914453,0.562160219,0.553918621,0.665925229,0.831865395,0.85044488,0.862443384,0.9717395,1.0,1.0,1.0,0.994803349
